"","terms","value","component","id"
"87","Twos",0.41602706163102,"PC7","pca_qt6i0"
"88","Threes",0.106652174965249,"PC7","pca_qt6i0"
"89","Fours",-0.539162985671759,"PC7","pca_qt6i0"
"90","Sixes",0.317791068600542,"PC7","pca_qt6i0"
"91","Total_runs",0.00657478579883209,"PC7","pca_qt6i0"
"92","Total_balls",-0.0238228917745524,"PC7","pca_qt6i0"
"93","Dismissals",0.0945278658447647,"PC7","pca_qt6i0"
"94","Matches",0.277561207924907,"PC7","pca_qt6i0"
"95","High_score",-0.0148236695440372,"PC7","pca_qt6i0"
"96","Max_strike_rate",-0.147168014811257,"PC7","pca_qt6i0"
"97","Bat_avg",0.131529127498848,"PC7","pca_qt6i0"
"98","Wining_balls",-0.503968536557592,"PC7","pca_qt6i0"
"99","Dots",-0.315272329085164,"PC8","pca_qt6i0"
"100","Singles",-0.0777879731111816,"PC8","pca_qt6i0"
"101","Twos",0.419037633425722,"PC8","pca_qt6i0"
"102","Threes",-0.0836984400578376,"PC8","pca_qt6i0"
"103","Fours",-0.0571448759344425,"PC8","pca_qt6i0"
"104","Sixes",-0.0903782971652486,"PC8","pca_qt6i0"
"105","Total_runs",-0.0367806445336082,"PC8","pca_qt6i0"
"106","Total_balls",-0.143663856944957,"PC8","pca_qt6i0"
"107","Dismissals",0.0268803816824412,"PC8","pca_qt6i0"
"108","Matches",-0.131775423182112,"PC8","pca_qt6i0"
"109","High_score",0.636535868110015,"PC8","pca_qt6i0"
"110","Max_strike_rate",0.0234628709758459,"PC8","pca_qt6i0"
"111","Bat_avg",-0.449622018130481,"PC8","pca_qt6i0"
"112","Wining_balls",0.229244052576546,"PC8","pca_qt6i0"
"113","Dots",0.325169626640655,"PC9","pca_qt6i0"
"114","Singles",0.364540054464959,"PC9","pca_qt6i0"
"115","Twos",-0.0829827854190774,"PC9","pca_qt6i0"
"116","Threes",-0.0923128892161518,"PC9","pca_qt6i0"
"117","Fours",0.0137944539105828,"PC9","pca_qt6i0"
"118","Sixes",-0.00668228342211834,"PC9","pca_qt6i0"
"119","Total_runs",0.133502525044064,"PC9","pca_qt6i0"
"120","Total_balls",0.31013118990895,"PC9","pca_qt6i0"
"121","Dismissals",-0.166705828027774,"PC9","pca_qt6i0"
"122","Matches",-0.404237493012986,"PC9","pca_qt6i0"
"123","High_score",0.241205815555751,"PC9","pca_qt6i0"
"124","Max_strike_rate",0.120794068249491,"PC9","pca_qt6i0"
"125","Bat_avg",-0.279705757598162,"PC9","pca_qt6i0"
"126","Wining_balls",-0.538073121722526,"PC9","pca_qt6i0"
"127","Dots",-0.442596018399235,"PC10","pca_qt6i0"
"128","Singles",-0.0258068492541017,"PC10","pca_qt6i0"
"129","Twos",0.111459293285226,"PC10","pca_qt6i0"
"130","Threes",0.015555388970584,"PC10","pca_qt6i0"
"131","Fours",0.722223024877846,"PC10","pca_qt6i0"
"132","Sixes",0.00236597582547906,"PC10","pca_qt6i0"
"133","Total_runs",0.202688267034949,"PC10","pca_qt6i0"
"134","Total_balls",-0.145073817441962,"PC10","pca_qt6i0"
"135","Dismissals",0.0124065046181814,"PC10","pca_qt6i0"
"136","Matches",0.0790435277411478,"PC10","pca_qt6i0"
"137","High_score",-0.0689504959947211,"PC10","pca_qt6i0"
"138","Max_strike_rate",-0.0794298183466016,"PC10","pca_qt6i0"
"139","Bat_avg",0.00715360671390087,"PC10","pca_qt6i0"
"140","Wining_balls",-0.435339802421982,"PC10","pca_qt6i0"
"141","Dots",0.470405578864001,"PC11","pca_qt6i0"
"142","Singles",-0.61394881463717,"PC11","pca_qt6i0"
"143","Twos",0.446554667054141,"PC11","pca_qt6i0"
"144","Threes",-0.0333920604775552,"PC11","pca_qt6i0"
