"","Player","Country","PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14"
"1","A Balbirnie","Overseas",-8.21622873162226,-1.08190628548853,-1.9139313509408,1.69039821998398,-0.438696277172173,-0.191556067276975,-0.454510537574104,-0.316732586433352,0.0537598171564395,-0.254332958625795,0.594746437829365,0.0542875382361457,0.0393856451706243,0.0229525646271293
"2","A Ndlovu","Overseas",2.44913648785578,0.560873809944131,0.231553775301547,0.13581731637098,-0.0837358769497557,0.205320742284898,-0.0757796842509232,-0.110386294085763,0.117495909223155,0.0683904111426651,0.091173409315773,-0.189059751526856,-0.00881966751969377,0.00265909878484861
"3","A Nortje","Overseas",2.24790419546894,-2.00009860108038,-1.06507347211133,-0.659244996216947,0.0675645558619912,0.567602326736724,-0.394624256033473,0.0329898006184388,0.212346444434764,-0.137514138153129,-0.0485782298300622,-0.0104830807891461,0.000707894582845581,-0.00567223456445189
"4","A Sharafu","Overseas",2.8793070981336,0.392080984474398,-0.318735748368265,0.0343209236367532,-0.280427077427836,0.323485857662892,-0.120532272526698,0.0943069348025526,0.053017982270063,0.0304137996480057,0.0231032066768773,0.0692451330191646,0.00604983092536972,-0.00288253888684701
"5","A Zampa","Overseas",2.84902653582842,0.67139716282966,-0.470778490826984,0.189813733562041,-0.245554431668596,0.170938399897127,-0.0673760527533368,-0.0245201685893283,-0.0644632575105983,0.0127823197448738,-0.0847434692901391,-0.11015501992516,-0.00347386958124353,-0.00072030069202379
"6","AC Agar","Overseas",1.56003620743025,-0.230644517589223,0.173786127844065,0.0621700352174208,0.0934632575123794,0.125166101721389,-0.294479674204706,0.11477352536388,-0.0495420850294327,-0.255283939339588,0.0345865787354867,-0.0130151133110124,0.00240281265221915,0.00132755392222766
"7","AC Evans","Overseas",2.65111551296656,-0.230920927707208,-0.122637288600491,-0.176093724401487,-0.154720952040692,0.424579034511956,-0.163991703798112,0.0685051496356059,0.0996857397236195,0.030589829742059,0.139760107976382,0.0660929026089284,0.00403618184709891,-0.00753537267930688
"8","AD Hales","Overseas",-5.12883091383586,0.302548284055532,0.518345403463626,-0.665673378867467,-0.596324897283816,-0.412804275709734,-1.23944890901015,0.218709477807348,-0.48511437014691,0.173803718518823,0.0181906385168768,-0.0451889918791914,-0.0118065602800976,-0.00657773223697915
"9","AF Milne","Overseas",2.79462767116421,0.187575878523709,-0.201391366337324,0.0247162167138258,-0.342621902272489,0.251273582992203,-0.117944175294106,-0.00685754494779095,0.0899844193649942,-0.00692264621135796,0.062962565979259,0.0589401500614284,0.0118641451590847,-0.00572398953074855
"10","AJ Finch","Overseas",-6.67596883534877,1.46060365294728,-0.492589733476643,-0.419187396548281,0.431992897041649,0.982477882837214,-0.636222341086267,0.198873910717504,-0.531591445594933,-0.612969245723227,0.589656948096308,-0.150379907275953,0.0441351826653658,-0.0170683286502996
"11","AJ Hosein","Overseas",0.220207048441434,-0.957413864497318,0.540242559215363,0.261312365441911,0.122588916196,-0.101196360641174,0.25528881384143,-0.0803879734342873,0.165822891801368,-0.0706249815709211,0.106151593395239,-0.154911747170494,0.0123063909104745,0.00342059698051585
"12","AK Markram","Overseas",-2.45533130278046,-0.803483891302381,1.07185044421566,-0.0965084125399886,0.0155847587471048,0.466641844208126,-0.27949709006373,-0.231974148809552,-0.0629793169633261,0.204521622112735,0.0771660421910854,0.179789092883123,-0.033921606912226,0.0113289719313536
"13","AL Phehlukwayo","Overseas",2.25519127643547,0.165739555228459,0.961502349340055,0.0358296575606467,0.0805840614308172,0.0719075919439379,-0.031056527721134,-0.212827769556794,-0.0529323068503352,0.113852747427175,0.0750782846756678,0.138802719885449,0.0017681637492313,0.00184429763755368
"14","AM Fernando","Overseas",2.46864781694112,-1.41448465268687,-0.0863673271441006,-0.603042588038626,-0.110788564891471,0.717162633935189,-0.438066010136214,0.0484272337047178,0.238125216727032,-0.0490553738312217,0.0818603617973243,-0.00996711387664948,-0.00619483303390108,0.00543089538943628
"15","AR McBrine","Overseas",1.16351950349308,-0.854507705826788,0.100148803555743,0.0915244068532139,0.00237553958476246,-0.128771962222072,-0.0334220348874896,0.237326290896207,0.0348103324076395,-0.0222446585099704,-0.254130136958081,0.14404517583573,0.00926419826662391,0.00692396409826762
"16","AR Patel","Local",0.612531492383612,-0.754286282206878,-0.830925964715374,0.278457722621498,0.393039607594435,-0.10387402297144,-0.0517728451868709,-0.081273031303298,-0.450367993888374,0.0694291775012184,-0.121123943167407,-0.0717737695614152,-0.0160353142872289,-0.0187470640425862
