"","Player","Country.x","Bat_pc1","Country.y","Ball_pc1"
"319","W Madhevere","Overseas",5.23452844411617,"Overseas",0.0228279816589277
"320","WD Parnell","Overseas",-1.15729219271822,"Overseas",2.84712917137224
"321","WG Jacks","Overseas",-1.77368572772786,"Overseas",NA
"322","WIA Fernando","Overseas",-2.61963081319426,"Overseas",NA
"323","WP Masakadza","Overseas",-2.45329225552557,"Overseas",-0.519044565119694
"324","Waseem Muhammad","Overseas",7.69647834725544,"Overseas",-3.4060101659966
"325","Washington Sundar","Local",-3.21411616090096,"Local",-3.59764020779316
"326","Y Cariah","Overseas",-3.01902219207362,"Overseas",-2.84477798363937
"327","Yasir Ali Chowdhury","Overseas",-0.632802613679109,"Overseas",NA
"328","Yasir Mohammad","Overseas",-2.47014998671828,"Overseas",-3.31935978372882
"329","Zahoor Khan","Overseas",-3.10327126716465,"Overseas",2.06146324202681
"330","Zawar Farid","Overseas",-0.185264881739623,"Overseas",-1.57798741759907
"331","A Dutt","Overseas",NA,"Overseas",-3.12130850686228
"332","Akif Raja","Overseas",NA,"Overseas",-3.32746067319622
"333","Ali Khan","Overseas",NA,"Overseas",-2.89813316498457
"334","BD Glover","Overseas",NA,"Overseas",-2.06039157776905
"335","BM Tickner","Overseas",NA,"Overseas",-0.176849946047575
"336","BTJ Wheal","Overseas",NA,"Overseas",-2.30530917159649
"337","BV Sears","Overseas",NA,"Overseas",-1.60157883960143
"338","C Olphert","Overseas",NA,"Overseas",-2.48837004299244
"339","Ebadat Hossain","Overseas",NA,"Overseas",-0.59847064898386
"340","JA Duffy","Overseas",NA,"Overseas",-1.63156659971084
"341","JJ Bumrah","Local",NA,"Local",-1.24599717345488
"342","JK Masara","Overseas",NA,"Overseas",-3.42937218177214
"343","Kuldeep Yadav","Local",NA,"Local",-2.38511128401341
"344","L Wood","Overseas",NA,"Overseas",-2.2105677513175
"345","MA Wood","Overseas",NA,"Overseas",0.522092080960995
"346","MJG Rippon","Overseas",NA,"Overseas",-3.04518332284056
"347","P Jayawickrama","Overseas",NA,"Overseas",-2.10144736590635
"348","SN Thakur","Local",NA,"Local",-2.99566527448996
"349","SS Cottrell","Overseas",NA,"Overseas",0.499592537412109
"350","Sabir Ali","Overseas",NA,"Overseas",-2.26228709875841
"351","TL Chivanga","Overseas",NA,"Overseas",-2.51681762718885
"352","Umran Malik","Local",NA,"Local",-1.79320098002363
"353","YS Chahal","Local",NA,"Local",5.09915335702864
