"","Player","Year","Dots","Singles","Twos","Threes","Fours","Sixes","Total_runs","Total_balls","Dismissals","Matches","High_score","Max_strike_rate","Bat_avg","Wining_balls","Country","Batsman_status"
"51","C Madande",2022,10,2,0,0,0,0,2,10,1,1,2,20,2,0,"Overseas",1
"52","CA Young",2022,6,1,1,0,0,0,3,5,3,3,2,200,1,0,"Overseas",1
"53","CAH Stevenson",2022,8,9,2,0,0,0,13,17,3,3,8,83.3333333333333,4.33333333333333,0,"Overseas",1
"54","CAK Rajitha",2022,19,6,1,0,0,0,8,23,0,1,8,34.7826086956522,8,0,"Overseas",1
"55","CB Sole",2022,0,0,1,0,0,0,2,1,0,1,2,200,2,0,"Overseas",1
"56","CBRLS Kumara",2022,4,0,0,0,1,0,4,4,1,1,4,100,4,0,"Overseas",1
"57","CJ Jordan",2022,33,30,9,0,9,7,124,81,7,10,28,500,17.7142857142857,23,"Overseas",1
"58","CN Ackermann",2022,61,57,13,2,13,4,165,141,7,8,62,157.692307692308,23.5714285714286,52,"Overseas",1
"59","CN Greaves",2022,28,23,9,0,7,3,87,67,2,4,37,147.619047619048,43.5,11,"Overseas",1
"60","CP Rizwan",2022,37,74,14,1,10,3,163,134,5,7,51,148.275862068966,32.6,45,"Overseas",1
"61","CR Ervine",2022,163,105,19,4,39,7,353,310,20,21,58,242.857142857143,17.65,249,"Overseas",1
"62","CR Woakes",2022,8,8,1,0,3,1,28,20,1,3,13,260,28,8,"Overseas",1
"63","CS MacLeod",2022,22,31,6,0,8,1,81,65,4,4,33,164.285714285714,20.25,15,"Overseas",1
"64","Chirag Suri",2022,154,104,19,3,43,10,382,313,14,15,87,400,27.2857142857143,147,"Overseas",1
"65","D Cleaver",2022,42,31,7,1,10,5,118,90,4,5,78,186.666666666667,29.5,96,"Overseas",1
"66","D Madushanka",2022,1,1,0,0,0,0,1,2,0,1,1,50,1,0,"Overseas",1
"67","D Pretorius",2022,31,9,2,0,9,7,91,50,5,6,29,300,18.2,34,"Overseas",1
"68","D Siva Kumar",2022,10,3,0,0,1,0,7,13,1,1,7,53.8461538461538,7,0,"Overseas",1
"69","DA Miller",2022,70,97,16,0,22,24,361,216,6,13,106,475,60.1666666666667,136,"Overseas",1
"70","DA Warner",2022,90,77,16,5,45,6,340,227,10,11,75,280,34,141,"Overseas",1
"71","DC Drakes",2022,10,2,0,0,2,0,10,9,3,3,5,200,3.33333333333333,0,"Overseas",1
"72","DC Thomas",2022,26,15,3,0,4,2,49,45,5,6,31,163.157894736842,9.8,24,"Overseas",1
"73","DJ Hooda",2022,73,76,14,1,27,13,314,205,9,11,104,206.25,34.8888888888889,181,"Local",1
"74","DJ Malan",2022,154,140,21,6,46,17,486,363,14,17,82,300,34.7142857142857,250,"Overseas",1
"75","DJ Mitchell",2022,66,132,44,0,20,14,384,260,11,15,53,240,34.9090909090909,209,"Overseas",1
"76","DJ Willey",2022,17,12,0,0,5,2,44,34,2,5,33,150,22,2,"Overseas",1
"77","DL Chahar",2022,7,5,0,0,2,3,31,16,1,1,31,193.75,31,0,"Local",1
"78","DM Bravo",2022,10,16,0,0,1,1,26,27,1,2,23,121.052631578947,26,0,"Overseas",1
"79","DM de Silva",2022,59,71,15,3,20,4,214,163,9,10,66,157.142857142857,23.7777777777778,123,"Overseas",1
"80","DP Conway",2022,167,162,38,5,43,14,509,410,11,14,92,160,46.2727272727273,308,"Overseas",1
