"","Player","Year","bowler_Dots","bowler_Singles","bowler_Twos","bowler_Threes","bowler_Fours","bowler_Sixes","Bowler_wickets","Bowler_Matches","Total_wides","Total_noballs","Total_overs","Total_runs_conceded","Bowler_min_econ_rate","Bowler_wining_balls","Country","Bowler_status"
"74","GH Dockrell",2022,35,63,16,0,9,1,5,9,5,0,20.8333333333333,138,3.23076923076923,25,"Overseas",1
"75","GHS Garton",2022,7,7,2,0,4,5,1,1,0,1,4.16666666666667,57,13.68,0,"Overseas",1
"76","GI Hume",2022,8,11,2,0,2,3,0,1,2,0,4.33333333333333,41,9.46153846153846,0,"Overseas",1
"77","GJ Delany",2022,107,181,23,1,32,20,16,21,13,0,60.3333333333333,469,3.84,132,"Overseas",1
"78","GJ Maxwell",2022,31,62,7,1,11,3,7,11,0,0,17,126,3,85,"Overseas",1
"79","GT Main",2022,7,10,2,0,4,3,2,1,1,1,4.33333333333333,45,10.3846153846154,0,"Overseas",1
"80","Gulbadin Naib",2022,7,9,1,0,5,2,0,2,0,0,4,43,10.3333333333333,0,"Overseas",1
"81","HH Pandya",2022,136,156,29,2,46,26,21,23,10,1,68,562,4.57142857142857,243,"Local",1
"82","HR Walsh",2022,41,85,8,2,11,10,6,7,1,0,26.1666666666667,211,5.75,60,"Overseas",1
"83","HV Patel",2022,134,186,26,0,51,37,24,20,18,2,69.3333333333333,625,1.5,317,"Local",1
"84","Hamza Tahir",2022,13,15,3,0,2,9,2,2,0,0,7,82,9.33333333333333,0,"Overseas",1
"85","Haris Rauf",2022,201,180,49,3,73,14,35,23,11,0,83.8333333333333,608,3,287,"Overseas",1
"86","Hasan Ali",2022,10,14,2,1,9,0,0,2,0,0,6,55,8.33333333333333,0,"Overseas",1
"87","Hasan Mahmud",2022,84,78,22,2,34,4,13,9,7,1,41.6666666666667,319,3.75,77,"Overseas",1
"88","I Kaia",2022,4,1,0,0,1,0,0,1,0,0,1,5,5,0,"Overseas",1
"89","IS Sodhi",2022,149,222,39,2,42,28,27,21,10,0,74.5,579,5.52,348,"Overseas",1
"90","Iftikhar Ahmed",2022,34,85,5,1,10,3,4,10,1,0,23,151,3,84,"Overseas",1
"91","J Little",2022,239,222,37,2,94,15,39,26,25,0,99,699,3.25,231,"Overseas",1
"92","J Theron",2022,36,37,5,0,17,4,4,5,3,0,16.5,137,4.61538461538462,44,"Overseas",1
"93","JA Duffy",2022,35,25,3,0,16,3,4,4,2,2,13.6666666666667,113,6.66666666666667,82,"Overseas",1
"94","JA Richardson",2022,36,37,7,1,15,3,7,4,3,0,20.6666666666667,176,5,48,"Overseas",1
"95","JDF Vandersay",2022,19,42,13,1,8,5,1,4,2,0,12.3333333333333,109,8,0,"Overseas",1
"96","JDS Neesham",2022,42,40,9,1,19,5,4,11,2,0,19.3333333333333,167,6.33333333333333,86,"Overseas",1
"97","JH Davey",2022,20,23,5,0,13,2,3,3,2,1,10.5,96,5.05263157894737,19,"Overseas",1
"98","JJ Bumrah",2022,37,38,7,0,13,4,4,5,3,0,16.5,126,3.33333333333333,99,"Local",1
"99","JK Masara",2022,1,5,0,0,0,0,0,1,0,0,1,5,5,6,"Overseas",1
