"","Player","Country","PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14"
"1","A Dutt","Overseas",-3.12130850686228,-0.558116956477746,0.32158277333149,-0.371703458222769,-0.118882693907961,-0.014448781347352,0.0838730699150097,0.15594488798134,0.016023797956423,-0.139806838322248,0.166754857074948,-0.0464361234154312,-0.037547385842003,-0.00335055212829021
"2","A Ndlovu","Overseas",-2.72008119131584,-0.445486630625008,0.107335122624289,-0.297761535899304,-0.311517773922149,-0.0196409532831992,-0.0529092138671962,-0.237143992079127,-0.124413767617594,0.0494219749012083,0.0968086953388967,0.0624964311882649,0.0311233691279313,0.0187800611815882
"3","A Nortje","Overseas",1.71768980904908,0.30123869403285,0.0574921594410039,-1.97038827533627,0.424646805851699,0.0051699694370365,0.56984656281413,-0.729154963354425,0.389765363446823,0.161093246973028,0.0756459898109601,0.0201716047695861,0.348053616626816,0.0330215855725542
"4","A Zampa","Overseas",2.74993414035078,-0.980650195004656,-0.326672812807938,0.189482908134166,0.821351808855603,0.37298410220759,0.224688870832954,0.422259333288652,-0.170765943040882,0.325200426092925,0.0212034667258069,-0.582350810182723,-0.161227916220408,0.00172088350928508
"5","AC Agar","Overseas",-0.293860287650452,-1.07229908174176,0.639231503924963,-0.0836600353276424,0.481669712534459,-0.323387571780468,-0.374362342398529,0.707108553067972,-0.0166367523472111,-0.130103299385414,0.316919513909877,-0.0471669485148569,-0.114758648931764,-0.00392448277620035
"6","AC Evans","Overseas",-3.35540560755635,1.00859494349809,-2.08026395885155,1.07102165373895,0.243294064015135,-0.173000015133856,0.152397190129064,-0.0584189910696639,0.0712752469512322,0.108637123980438,0.0425898884706489,0.0251057852316528,0.00986521193782949,-0.00681308178741934
"7","AF Milne","Overseas",-2.21263316332657,-0.379959633990135,-0.00935779794149374,-0.208165972367683,-0.440860766326431,-0.19975811014483,-0.0722504771965082,0.202551662799243,0.0982490136676736,-0.19367430024197,0.16249435881654,0.109442897145056,-0.00312375967387368,0.000632763782315089
"8","AJ Hosein","Overseas",4.83318606313057,1.60786741893898,-0.240264367079877,-2.41502771864597,1.06566568994437,-0.0856239764308972,-0.755633816993407,0.0938116189984407,-0.286216979866241,0.308626290197877,0.652239320674995,0.366368277302355,-0.0476676053382231,0.00819174632147338
"9","AK Markram","Overseas",-2.84289302235889,-0.575748069196514,0.216350887997164,-0.415461571905157,-0.192525509703855,0.109720444501173,-0.0945677512919447,0.145876207735072,0.0312698923185041,0.13553658332213,-0.138908044735608,0.0682917964719349,0.0332967187343901,-0.00276473186770367
"10","AL Phehlukwayo","Overseas",-1.65378321094958,-0.246413647926489,-0.535610775460344,-0.406825929213122,-0.741720360452637,0.518386658341905,0.306893949845391,0.183347443737017,0.265472958230846,-0.0857081601433898,0.0614722033602307,-0.168048179843891,-0.0509012404156842,-0.0160037073315506
"11","AM Fernando","Overseas",-2.00477370520889,-0.000707825653698996,-0.601258521684609,0.602363042816151,0.481193140671098,0.34902218233524,0.371278942544223,-0.1914432941753,-0.0136655541600101,-0.409625745501826,-0.0460803376637148,-0.0922258309203777,0.0438470880983263,-0.00754242643062239
"12","AR McBrine","Overseas",0.971004259854914,-1.15074185241039,-0.0916554026913945,-0.512309750094026,0.463784108213443,0.666000461359231,-0.142213208969478,0.296079961968439,-0.249313106964022,0.462480839803028,0.0956610866096925,-0.116047290305369,0.113970548455374,0.0365406309750927
"13","AR Patel","Local",5.02767560184567,-1.13162924091544,-1.05127301364863,-0.33254350414935,1.07651714087405,0.617901671997122,1.39040021907351,-0.0765250131631201,-0.169619461984497,-0.0651284136755103,-0.517600353749615,0.319375124364149,0.0424741498451157,0.021895041130515
"14","AS Joseph","Overseas",1.89287668692928,-0.686825620170505,0.0176847091428017,0.394719142586867,-0.00195846381072802,0.207280025914844,-0.0471598323623073,-0.630913270791439,0.547094297944748,0.334280475418042,0.187957522280924,-0.312465106369165,0.0374366649264132,-0.106185485521532
"15","AU Rashid","Overseas",7.54182150773093,-1.54632158210895,-1.07003273750518,0.743113597411948,2.67931591370693,1.85188353105635,-0.803139945436787,0.321515269598361,0.0496299052108504,-0.576130012956033,0.332963146124046,-0.0827310573366647,-0.195692760289735,-0.0213711720172723
"16","Aamer Jamal","Overseas",-2.98786637894427,-0.326856911259977,-0.0109265440829729,-0.206824494012835,-0.257182366634791,0.00543561268227587,0.104948090432703,-0.0592748419799118,-0.0747652698280968,-0.0756450548944156,-0.00926129080782528,-0.0433195667532404,-0.0131931534390659,-0.000729826625989917
"17","Aaron Jones","Overseas",-2.45195256451061,-0.139616720946092,-0.181587265228957,0.502678372899786,0.22921370187697,0.429224508612227,0.067192635225524,-0.0634337697656134,0.246652761073327,-0.0620781125087021,-0.238761191740597,0.0577330168054028,0.0469896060727909,0.00730041273230162
"18","Aayan Afzal Khan","Overseas",-1.63899234470286,-0.810392270521828,1.23963627492487,0.511735305830269,0.223730602062705,0.290914901728807,0.136448513677458,-0.320333713498905,0.202326754324568,0.458442364983625,0.0399062399176823,-0.0875392841304441,-0.011890491629213,0.0203134576143359
"19","Afif Hossain","Overseas",-2.92289686089217,-0.367554820983258,-0.0128716925268249,-0.243178414592487,-0.224649693398768,0.00049366270711837,0.0710756979435385,-0.0465813298100705,-0.0390649743276075,0.162559730545189,-0.205959805337832,0.0868452453177646,0.0726953761677506,0.00311640115951165
